Date,last price
15/1/2007, 3.03 
1/16/2007, 3.00 
1/17/2007, 2.98 
1/18/2007, 3.00 
1/19/2007, 3.00 
1/22/2007, 2.98 
1/23/2007, 2.98 
1/24/2007, 3.00 
1/25/2007, 2.95 
1/26/2007, 2.93 
1/29/2007, 2.88 
1/30/2007, 2.85 
1/31/2007, 2.88 
2/1/2007, 2.85 
2/2/2007, 2.90 
2/5/2007, 2.95 
2/6/2007, 2.90 
2/7/2007, 2.90 
2/8/2007, 2.90 
2/9/2007, 2.93 
2/12/2007, 2.93 
2/13/2007, 2.93 
2/14/2007, 2.95 
2/15/2007, 2.98 
2/16/2007, 2.95 
2/19/2007, 2.93 
2/20/2007, 2.98 
2/21/2007, 2.93 
2/22/2007, 2.93 
2/23/2007, 2.93 
2/26/2007, 2.95 
2/27/2007, 2.93 
2/28/2007, 2.85 
3/1/2007, 2.83 
3/2/2007, 2.85 
3/6/2007, 2.88 
3/7/2007, 2.85 
3/8/2007, 2.80 
3/9/2007, 2.80 
3/12/2007, 2.83 
3/13/2007, 2.85 
3/14/2007, 2.85 
3/15/2007, 2.90 
3/16/2007, 2.85 
3/19/2007, 2.85 
3/20/2007, 2.85 
3/21/2007, 2.85 
3/22/2007, 2.83 
3/23/2007, 2.88 
3/26/2007, 2.90 
3/27/2007, 2.90 
3/28/2007, 2.85 
3/29/2007, 2.90 
3/30/2007, 3.00 
4/2/2007, 2.90 
4/3/2007, 2.95 
4/4/2007, 3.03 
4/5/2007, 3.10 
4/9/2007, 3.13 
4/10/2007, 3.25 
4/11/2007, 3.35 
4/12/2007, 3.33 
4/17/2007, 3.40 
4/18/2007, 3.35 
4/19/2007, 3.35 
4/20/2007, 3.35 
4/23/2007, 3.35 
4/24/2007, 3.35 
4/25/2007, 3.35 
4/26/2007, 3.35 
4/27/2007, 3.53 
4/30/2007, 3.70 
5/2/2007, 3.78 
5/3/2007, 3.88 
5/4/2007, 4.00 
5/8/2007, 4.13 
5/9/2007, 4.00 
5/10/2007, 3.95 
5/11/2007, 3.90 
5/14/2007, 4.00 
5/15/2007, 4.28 
5/16/2007, 4.50 
5/17/2007, 4.38 
5/18/2007, 4.88 
5/21/2007, 5.05 
5/22/2007, 4.93 
5/23/2007, 5.00 
5/24/2007, 4.95 
